mountains/name,mountains/address,mountains/altitude,mountains/lot,mountains/lat
응봉산,"강원도 삼척시 가곡면ㆍ원덕읍, 경상북도 울진군 북면",999,129.230461,37.076597
장안산,"전라북도 장수군 계남면, 장수읍",1237,127.593443,35.625733
재약산,"경상남도 밀양시 단장면ㆍ산내면, 울산광역시 울주군 상북면",1189,128.97228,35.557707
적상산,전라북도 무주군 적상면,1034,127.689936,35.946508
점봉산,"강원도 인제군 인제읍ㆍ기린면, 양양군 서면",1424,128.432476,38.027861
조계산,전라남도 순천시 송광면ㆍ승주읍,884,127.313555,35.001211
주왕산,"경상북도 청송군 부동면ㆍ청송읍, 영덕군 지품면ㆍ달산면",721,129.162417,36.389337
주흘산,경상북도 문경시 문경읍,1106,128.101271,36.78844
지리산,"경상남도 산청군ㆍ하동군ㆍ함양군, 전라북도 남원시, 전라남도 구례군",1915,127.730474,35.336971
지리산(통영),경상남도 통영시 사량면,398,128.198261,34.851294
천관산,"전라남도 장흥군 관산읍, 대덕읍",723,126.911238,34.535402
천마산,"경기도 남양주시 오남읍, 화도읍",812,127.273397,37.680364
천성산,"경상남도 양산시 하북면, 상북면",922,128.950771,35.378184
천태산,"충청북도 영동군 양산면, 충청남도 금산군 제원면",715,127.600005,36.159122
청량산,"경상북도 봉화군 명호면ㆍ재산면, 안동시 도산면ㆍ예안면",870,128.907994,36.794122
추월산,"전라남도 담양군 용면, 전라북도 순창군 복흥면",731,126.976087,35.399939
축령산,"경기도 가평군 상면, 남양주시 수동면",879,127.333923,37.752705
치악산,"강원도 원주시, 횡성군, 영월군",1288,128.055568,37.365077
칠갑산,"충청남도 청양군 대치면, 정산면, 장평면",561,126.884905,36.413006
태백산,"강원도 태백시, 경상북도 봉화군 석포면",1567,128.916532,37.096337
태화산,"강원도 영월군 영월읍, 충청북도 단양군 영춘면",1027,128.486345,37.117601
팔공산,"대구광역시 동구, 경상북도 군위군 부계면, 영천시 신녕면",1193,128.694901,36.016137
팔봉산,강원도 홍천군 서면,302,127.695577,37.696514
팔영산,"전라남도 고흥군 영남면, 점암면",609,127.430924,34.624358
한라산,제주특별자치도,1950,126.535756,33.361578
화악산,"경기도 가평군 북면, 강원도 화천군 사내면",1468,127.497655,37.988856
화왕산,"경상남도 창녕군 고암면, 창녕읍",757,128.531682,35.547141
황매산,"경상남도 합천군 가회면ㆍ대병면, 산청군 차황면",1108,127.974455,35.495206
황석산,"경상남도 함양군 서하면, 안의면, 서상면",1190,127.761191,35.730696
황악산,경상북도 김천시 대항면,1111,127.966881,36.117593
황장산,경상북도 문경시 동로면,1077,128.278063,36.812895
희양산,"충청북도 괴산군 연풍면, 경상북도 문경시 가은읍",999,128.00511,36.71469
